text,label,notes
"The story of ""A Woman From Nowhere"" is rather simple and pretty much adapted right out of a Eastwood Spaghetti Western: A mysterious stranger comes into a lawless town run by a kingpin and starts shooting up the place. Even the opening credits and music have that spaghetti feel: Sergio Leone and Ennio Morricone would be proud. The really interesting twists are that the stranger is a beautiful (!) woman, Saki (Ryoko Yonekura) on a Harley, and the location is in a town somewhere in Japan.<br /><br />In this actioner, there's a considerable amount of gunplay, some of it good, some predictable, and other spots somewhat hokey, but it's a whole lot of fun. Ryoko handles her guns with believability and aplomb and gives the thugs their due. It wasn't much of an acting challenge for her as it was a physical challenge, but she handled things very well. She shows her acting skills much more as Otsu in the NHK drama, ""Musashi.""<br /><br />I'd highly recommend film if you're a Ryoko Yonekura fan (which I adoringly am) and/or a ""girls with guns"" movie fan and it does hold up to repeated viewings. To me, there's something eminently and inexplicably appealing about ""girls with guns"" movies like ""La Femme Nikita"" and ""The Long Kiss Goodnight."" And to have a gorgeous gal like Ryoko starring in it as well is just gobs of icing on the cake.",positive,
"It started out with an interesting premise. I always like Civil War stuff and ancient secret societies. The more the film progressed, the more I realized that this was a B movie at best. In the latter half, it quickly became a C movie, then D, then F, then ""I wish that this wasn't a rental so that I could put it in the microwave!"" I can't say that the acting in all cases was awful, just most. The writing, however... I never read the book. Maybe the book is well written. The screenplay was written by a 10 year old. It was ridiculously shallow, the dialog drab and uninteresting, the characters about as interesting as a 5 pound bag of fertilizer. I really hated this movie, as did my wife. I am a Christian and I have no problem with movies that promote or support Christianity. This movie did a great disservice to the cause. Awful, terrible, worthless. If you liked it, I strongly recommend Superman 4.",negative,
"I love this movie, but the music at all the alumni gatherings is just stupid.<br /><br />The fateful game took place in 1972. That means that the protagonists graduated in 1972. But almost all of the music played at the dances etc. is from the 1950s and very early 1960s.<br /><br />Having just attended my 30th high school reunion, I can assure you that the last music to be played at a reunion or dance of former high school people is their parents' music.<br /><br />I understand the difficulty of finding relevant 1970s music -- we all know what a desolate time it was musically. But it wasn't completely bereft, and the producers of the film should have taken more care. I found those dance scenes very jarring to my otherwise willing suspension of disbelief in the rest of the film.<br /><br />This was a bad director and/or producer decision.",positive,
"I just rented this today....heard lots of good reviews beforehand. WOW!! What a pile of steaming poo this movie is!! Does anyone know the address of the director so I can get my five dollars back???? Finally someone bumped ""Stop-loss"" from the 'Worst Iraq War Movie Ever' number one spot. To be fair, I don't think there are any good Iraq war movies anyway, but this was REALLY bad. <br /><br />I won't get into any technical inaccuracies, there's a hundred reviews from other GWOT vets that detail them all. If the director bothered to consult even the lowliest E-nothing about technical accuracy however they could've made the movie somewhat realistic....maybe. I guess the writer should be given the ""credit"" for this waste of a film. He or she obviously hatched the plot for this movie from some vivid imagination not afflicted with the restraints of reality. Does anybody but me wonder what the point of this movie was? Was there a message? Seriously though.....WTF????<br /><br />I'm pretty amazed at all the positive reviews really. This film is hard to watch as a vet because of all the glaring inaccuracies but even if one could overlook that, the plot sucks, characters are shallow (to say the least) and the acting is poor at best. It's ironic, I suppose, that this movie is supposed to be about Explosive Ordinance Disposal, because it's the biggest bomb I've seen this year.",negative,
"I waited and waited for this film to come out,the trailers seemed to be on for years, it was worth it. I'm not a big fan of watching films over and over again but i cant wait for this to come out for all to buy! Not a big fan of Jim but this suited him perfectly, there was so much to see and the 'feel good factor' is off the scale, perfect for Christmas. I think Ron did a fab job turning this into a film, If you haven't seen it then do so, if you have, watch it again, i know you want to!",positive,
"Paulie is a fantasy of a littler girl or perhaps her recollection of what her youth was like growing up.<br /><br />Tony Shaloub executes a flawless performance as an Russian Scientist (PhD) who cannot find decent work in America. He befriends an isolated parrot while performing meanial duties of a janitor at a behavioral science lab.<br /><br />The chief Doctor is a bitter man, as Paulie, who can speak and fully comprehend language and learn, embarasses the Doctor, who later banishses him to the lower levels of the building, where Mikail (Tony S.) finds him.<br /><br />Paulie recants his life with Marie and how they lost each other. The quest begins to reunite Paulie with Marie, only more than 20 years has passed.<br /><br />The movie ends, some will say predictably, with Mikail reuniting Paulie with Marie. The story closes with the three entering Marie's home, where you can make the final your own choice.<br /><br />Great family film!",positive,
"I was very surprised how much I enjoyed this film. I thought it was funny, sexy, painful, and warm. Andie MacDowell's performance was nuanced and vulnerable. For once, the director of a MacDowell film did not make her beauty another character in the film. The romance between Kate and her young man is lovely to watch and it plays out very well. Her relationship with her friends is both a thorn and a balm in her life. Imelda Stalinson, who has been a MVP in so many British films, does a great job in this. There is some tragedy in this but I think the film is saved in the end by the brilliant acting, clean direction, and witty writing.The film quality is excellent and the music is good, too, though unavailable on sound track.",positive,
"Having heard quite positive reviews and having seen the trailer I had to see this movie. With William H. Macy, Luis Guzman, Michael Jeter and Sam Rockwell present it had to be good. And it delivered. Overall, the movie is not crack-you-up funny, but there is one scene that really stands out and is, in a my eyes, a classic. SPOILER At the end, where they break through the wall to get to the safe and we see Rockwell and Washington stare at Jeter is just fantastic. This is just as good as the scene in The Big Lebowski where The Dude is using a chair to barricade his door, but forgets the door turns outward! END SPOILER Just go see this movie, you won't be disappointed.",positive,
"What were they thinking at ""Cannes""? One of the most irritating, films of all time. Every detail of this film, no matter how meaningless was shown. If I had to watch her put on those boots one more time I think I would have shouted. If the point of this film was to show how pathetic a life Rosetta had, then it was covered within the first fifteen minutes of the movie and then the credits should have been running. But no, we had to see countless redundant scenes over and over. The whole thing was filled with un-likeable and unsympathetic characters. They deserved the misery that was Rosetta. And to think I passed up ""Tumbleweeds"" to see this over-hyped film of boredom. It was like watching grass grow, only that is more exciting.",negative,
"Roman Polanski is considered as one of the most important directors of our time, as the mind behind classics such as ""Rosemary's Baby"" and ""Chinatown"". Probably what makes Polanski's cinema a very interesting one is the fact that while he is capable of creating commercially attractive films such as the afore mentioned masterpieces, he is also fond of making low-key movies that are of a more personal nature. ""Le Locataire"", or ""The Tenant"", is one of those movies; a horror/suspense story about paranoia and obsession that is among his best works and probably among the best horror movies ever done.<br /><br />Polanski himself plays Telkovsky, a young man looking for an apartment in France. When he finally finds one, he discovers that it is empty because the previous tenant, Simone Choule, attempted to kill herself by jumping out of the window. After Simone dies of the injuries, Trelkovsky begins to become obsessed with her, to the point of believing that her death was caused by the rest of the tenants in the building.<br /><br />While sharing the same claustrophobic feeling of his other ""apartment-themed"" films (""Repulsion & ""Rosemary's Baby""); this film focuses on the bizarre conspiracy that may or may not be entirely in Trelkovsky's head, the catastrophic effects the paranoia has on his mind, and the bizarre obsession he has with the previous tenant.<br /><br />Trelkovsky's descend into darkness is portrayed perfectly by Polanski. While at first his performance seems odd and wooden, slowly one finds out that Polanski acts that way because Trelkovsky is meant to be acted that way; as a simpleton with almost no life, who traps himself in this maddening sub-world that happens to be inhabited by a collection of bizarre people. The supporting actors really gave life to the people in the building creating memorable characters that are very important for the success of the film.<br /><br />Also, the beautiful cinematography Polanski employs in the film helps to increase the feeling of isolation, and gives life to the beautiful building that serves as cage for Trelkovsky. The haunting images Polanski uses to convey the feeling of confusion and madness are of a supernatural beauty that makes them both frightening and attractive.<br /><br />If a flaw is to be found in the film, is that it is definitely a bit slow at first. this may sound like a turn-off but in fact the slow pace of the beginning works perfectly as it mimics Trelkovsky's own boring life and how gradually he enters a different realm. Also, the convoluted storyline is definitely not an easy one to understand due to the many complex layers it has. However, more than a flaw, it is a joy to face a thought-provoking plot like this one.<br /><br />While ""The Tenant"" may not be for everyone, those interested in psychological horror and surreal story lines will be pleased by the experience. ""Le Locataire"" is really one of Roman Polanksi's masterpieces. 10/10",positive,
"I know slashers are always supposed to be bad,but come on,what the hell is this?It's like a bunch of 10-year-olds saved their lunch money and started filming this by the end of their week.<br /><br />Anyway,six young people all go to the same house to get killed off screen.We have the brainy one,the slut,the other slut,the black guy,the killer,stereotypes like that.After one gets eaten by a shaking boat,the others all get stalked by some guy who wears a mask the people at the poor box rejected.There's one pretty decent murder somewhere in the middle,but then it's back to even more boredom,and especially more false scares.Seriously,we actually know it can't be the killer when a person gets attacked because the guy sure loves to take his sweet time for everything.<br /><br />After every character you expected to die dies,the standard ugly blonde chick and her soon-to-be-boyfriend eventually get captured by the killer(they get like,pushed down and then faint)and the killer reveals himself.I think the writers of this movie just took a blindfold and a pen and put it somewhere on the list of characters.The motive is just lame and don't even get me started on the damn secret.The killer then of course takes way too much time to explain everything(and then about ten minutes extra in which he slices up his own arm for some reason)and eventually gets overpowered by a guy with a gun.Hey,no fair!<br /><br />Really one of the most awful movies I've ever seen.I could enjoy myself more by watching a Lindsay Lohan-movie,I swear.I mean sure,most 80's slashers sucked as well but at least they threw in some T&A.This movie just has nothing going for it.",negative,
"I saw this at an arty cinema that was also showing ""Last Days"" and some Charlie Chaplin films. Based on the quality of the other features, I decided to give ""Immortel"" a chance. I nearly walked out of this movie, and I LIKE science-fiction! The story is set in a futuristic New York city, filled with Blade Runner-style sky advertisements and some similar debates about cloning/synthetic humans. Unfortunately, the screenplay was not condensed enough for an hour-and-forty-five-minute movie. Three groups exist in this world: humans, artificial humans, and Egyptian gods. The artificial humans seem to have the upper hand and control the politics of the city. The humans are slaves and are used for eugenics and organ donation. The Egyptian gods have a floating pyramid (modeled on the Great Pyramid of Khufu, and complete with a deteriorated exterior, leaving a smooth ""cap"" on the pyramid. Wouldn't a floating futuristic pyramid be in perfect condition?). The pyramid rests above the city and nobody on the ground understands what it is or why it's there. I won't bore you with the so-called plot, but there is lots of unnecessary gore and many gross-out scenes. The film, as I said, looks to have been influenced by Blade Runner, and perhaps also by The Fifth Element and The Matrix. At the end of the film credits were listed thank-yous to the United Kingdom, France, and Italy. The film is FRENCH, but uses British actors who don't speak French. Hence, it is obvious that their French dialog has been dubbed. This is a distraction, and I also thought that switching back and forth between real humans and animations quite distracting. It doesn't help that the animations are poor--no better than a video game. Skip this one.",negative,
"Some films just simply should not be remade. This is one of them. In and of itself it is not a bad film. But it fails to capture the flavor and the terror of the 1963 film of the same title. Liam Neeson was excellent as he always is, and most of the cast holds up, with the exception of Owen Wilson, who just did not bring the right feel to the character of Luke. But the major fault with this version is that it strayed too far from the Shirley Jackson story in it's attempts to be grandiose and lost some of the thrill of the earlier film in a trade off for snazzier special effects. Again I will say that in and of itself it is not a bad film. But you will enjoy the friction of terror in the older version much more.",positive,
"Every scene was put together perfectly.This movie had a wonderful cast and crew. I mean, how can you have a bad movie with Robert Downey Jr. in it,none have and ever will exist. He has the ability to brighten up any movie with his amazing talent.This movie was perfect! I saw this movie sitting all alone on a movie shelf in ""Blockbuster"" and like it was calling out to me,I couldn't resist picking it up and bringing it home with me. You can call me a sappy romantic, but this movie just touched my heart, not to mention made me laugh with pleasure at the same time. Even though it made me cry,I admit, at the end, the whole movie just brightened up my outlook on life thereafter.I suggested to my horror, action, and pure humor movie buff of a brother,who absolutely adored this movie. This is a movie with a good sense of feeling.It could make you laugh out loud, touch your heart, make you fall in love,and enjoy your life.Every time you purposefully walk past this movie, just be aware that you are consciously making the choice to live and feel this inspiring movie.Who knows? What if it could really happen to you?, and keep your mind open to the mystical wonders of life.",positive,
"The Underground Comedy Movie, is possibly the worst train wrecks I've ever seen. Luckily I didn't pay for this movie, and my friend reluctantly agreed to watch it again siting that it was so awful but he needed to prove to me how awful it was. I love off color comedy. I figured at the least it would have that and I would be entertained. No, instead the acting was so awful, the ""jokes"" were extremely cheesy, and the plot was no where to be found. Maybe there wasn't supposed to be a plot so I can't hold that against this movie. It's pretty sad where the funniest thing in a comedy is an old woman having her head hit off by a bat.....by Batman...A man dressed in a baseball uniform wielding a bat. Hilarious. Simply genius. I got the feeling watching this movie that its creators made it and laughed hysterically with their friends about it. Perhaps this was full of inside jokes we just didn't understand. Or perhaps it's the worst piece of trash ever made and it should be locked away in a vault and dumped in the Arctic Ocean.<br /><br />P.S. Don't buy this movie!",negative,
"Here we have a movie which fails in pretty much every way it is possible for a movie to fail. Terrible script, lousy acting, amateurish directing, laughable special effects...it's just an utterly awful movie. Not to mention the fact that when you get to the end you'll realize the whole thing doesn't make a lick of sense. After spending the whole movie wondering what in the world is going on here when things are finally explained you realize the story has been built on a foundation which is ludicrously impossible. In one of those hideous ""villain explains the whole movie"" sequences we are told that our villain has done something which quite simply can't be done and which makes absolutely no sense whatsoever. Oh, and after that we see that there also appears to be some kind of jell-o monster involved. I'm sure Drew Barrymore would very much like to pretend this movie never happened. If for some ungodly reason you are ever tempted to sit down and watch this movie may I suggest instead taking that time to bang your head against a wall for 104 minutes. That would prove to be a much more pleasurable experience than sitting through this garbage.",negative,
"Red Eye is a good little thriller to watch on a Saturday night. Intense acting, great villain and unexpected action.<br /><br />Some might not want to see this movie because it goes for a very short 85 Min's and 88% of the movie is on a plane and just talking. Don't worry they pull it off very well with the smart and witty dialog.<br /><br />A PG-13 movie seems to be new grounds for director Wes Craven. But surely enough he has fit as much violence as he possibly can into this thriller.<br /><br />This movies strongest point is its cast. This film needed good actors to deliver the dialog and thrills. If they didn't have those actors the film would have been lost and boring. We had Rachel McAdams from Mean Girls and Wedding Crashers. Cillian Murphy from Batman Begins and 28 days Later. Rounding off this cast is Brian Cox from X-men 2.<br /><br />The pacing in this film was great. Just when your thinking its going to get boring they throw a twist at you. Luckily this isn't a long movie and doesn't feel like it either. Much better then the other flight movie Flight Plan.<br /><br />Here is my Flight Plan comment: http://www.imdb.com/title/tt0408790/usercomments-578<br /><br />I recommend. Not too long and not too shabby.<br /><br />8/10",positive,
"I really enjoyed this one, and although the ending made me angry, I still give it 10 out of 10.<br /><br />Four college girls (Baltron, Kelly, Stahl and Cadby) are driving down to Florida, on their way they meet 2 guys (Turner, Davis), they really add nothing to the plot, but are at least somewhat likable. The girls agree to meet the guys in Florida for some fun, but they have car problems and never make it. One of the girls decides to go to a nearby gas station for help, the other three stay by the car.<br /><br />Soon one of the girls has to use the bathroom, being in the middle of nowhere she has no choice but to go in the bushes. Soon she witnesses as a man (March) strangles a woman, in terror the girl flees the area, she doesn't get very far, but manages to get lost.<br /><br />Her friends by the car go looking for her, they too go into the woods and run into the same man, one of them sees the dead woman, the man responds by shooting the girls head off, the other girl runs away, manages to make it back to the car where she is also killed.<br /><br />Eventually the two remaining girls find each other and because they break into the gas station get arrested. This is when I started getting mad, these poor girls are afraid for their lives and the redneck cops don't believe them.<br /><br />They are treated badly and one of them is left alone for the madman to kill her in the cell, the remaining friend manages to escape, but not without getting in dangerous situations.<br /><br />This movie has nudity, good actresses, a shower scene imitating Psycho, graphic violence towards women and solid story. Some women will probably find it offensive and sensitive individuals will NOT like the ending, but over all, this is a great little unknown movie.",positive,
"Greatly enjoyed this 1945 mystery thriller film about a young woman, Nina Foch,(Julia Ross) who is out of work and has fallen behind in her rent and is desperate to find work. Julia reads an ad in the local London newspaper looking for a secretary and rushes out to try and obtain this position. Julia obtains the position and is hired by a Mrs. Hughes, (Dame May Witty) who requires that she lives with her employer in her home and wants her to have no involvement with men friends and Julia tells them she has no family and is free to devote her entire time to this job. George Macready, (Ralph Hughes) is the son of Mrs. Hughes and has some very strange desires for playing around with knives. This was a low budget film and most of the scenes were close ups in order to avoid the expense of a background and costs for scenery. This strange family all live in a huge mansion off the Cornwall Coast of England and there is secret doors and plenty of suspense.",positive,
"Fact: Stargate SG-1 is a cheesy sci-fi TV series.<br /><br />There's no escaping facts. How much you try to excuse yourself or explain it Stargate SG-1 remains a cheesy sci-fi TV series.<br /><br />Stargate SG-1 does borrow and steal ideas briskly. Special FX aren't nearly as impressive as they could have been and the action isn't going to blow you out of the chair. Or couch for that matter either.<br /><br />But, and this is where I really think Stargate SG-1 deserves all the credit it can get, for each and every episode or stolen idea I think you can count at least one cheesy sci-fi movie that's actually worse than a one hour TV episode.<br /><br />In fact some episodes actually could probably have been 90 minutes long and still have been better than most movies.<br /><br />And being able to keep that quality throughout the show and keep delivering and pushing the storyline further is what makes Stargate SG-1 special.<br /><br />I am very picky with my selections. I follow perhaps one or two TV series at most and I hold pretty high standards which made me even more surprised when I found myself caught.<br /><br />So for those who decide to brush of Stargate SG-1 as yet another tacky sci-fi show, don't. Stick with it and you'll see what I'm talking about.",positive,
"A question for all you girls out there : If a man you`ve never met before accidentally phoned you up on purpose and continued to do so at the most indiscreet moments would you be intrigued by him or so freaked out you`d phone the police ? Yeah that`s what I thought so I couldn`t swallow the idea of Marti Gerrard putting up with the unwarrented attention of Connor Hill<br /><br />***** MILD SPOILERS *****<br /><br />This is a really dumb story . Connor Hill`s wife is murdered and the plot revolves around the question is Connor phoning Marti so he can have an alibi ? But there`s a massive gap in logic here , couldn`t Connor have employed a hit man ? something the prosecution seem to have ignored . And wasn`t there any forensics at the murder scene ? So why does the whole trial rest on Connor phoning Marti at the time of the murder ? Dumb . Dumb . Dumb . And it`s as predictable as it is brainless .<br /><br />My abiding memory of this film is that for someone who made the winter Olympics Marti Gerrard is a really crap downhill skier",negative,
"I'm not tired to say this is one of the best political thrillers ever made. The story takes place in a fictional state, but obviously it deals with the murder of Kennedy. A truthful and honest district attorney (played by Yves Montand) does not believe that the murder was planned and executed by the single man Daslow (=Oswald) and though all other officials want to close the case he continuous to investigate with his team.<br /><br />The screenplay is written tight and fast and holds the tension till the end. Just the part dealing with the Milgram experiment about authorities is (though not uninteresting) a bit out of place. The ending sequence - explaining who Icarus really is - partly shot in slow motion and intensified by a Morricone soundtrack is the most powerful sequence I have ever seen in a movie.",positive,
"As long as there's been 3d technology, (1950's I think) there's been animation made for it. I remember specifically, a Donald Duck cartoon with Chip and Dale in it. I don't remember the name at the moment, but the plot was that Donald worked at a circus, was feeding an elephant peanuts and Chip and Dale were stealing the peanuts. This was made to watch in 3d probably 1960's. If you happened to watch Meet the Robinsons in 3d in theaters, they showed this cartoon before the movie and explained the details of it's origin. There are probably somewhere around 100 cartoons made specifically to be viewed through 3d glasses. This claim was a bad move because it's not difficult to prove them wrong. On top of that, this just looks like a bad movie.",negative,
"As a huge fan of only the first 2 seasons of BSG and the stand alone feature BSG Razor I was hoping that this release would return the franchise to its original glory days. Usually I have no problem with science fiction that is mostly dialog driven as opposed to a visual bonanza of special effects. If the script is tight with some original ideas delivered by good actors one can create a profound film with little CGI money spent. This prequel has none of those aforementioned requirements going for it. The virtual reality world created by the terrorist teenagers was both ridiculous & unbelievable. This scene was simply put there to raise the release rating to Restricted. Not that teens don't love virtual reality mosh pits filled with sex & violence & heavy dance music. Its the part about those same teens having the intellectual depth & reason or political & religious passion as to create such futuristic software or become suicide bombers that perplexes me. These kids are definitely not from this planet. The movie plays out like a soap opera with only the last 10 minutes being slightly interesting. The scene with Eric Stolz giving his cyborg a devine conscienceness via the student firmware upgrade was amusing if not entertaining. But this old concept was far better portrayed & much more believable in the brilliant, classic original ""Frankenstein"" with Boris Karloff. Caprica rips off its only interesting idea from an old Hollywood horror film. No surprise there! Overall this movie was bland & unoriginal & cheap looking, using recycled CGI of Caprica from BSG. I doubt I'll be watching this space soap when it premieres on the Sci-Fi channel. Unless of course I happen to be suffering from a bad bout of insomnia at which time this show would definitely be the cure. Zzzzzzzz",negative,
"Throughly enjoy all the musical numbers each time I see this movie. Never seem to tire of it. Fred and Ginger are always a pleasure to watch. Seeing ""Lucy"" and Betty Grable before they hit the big time, is fun to watch.",positive,
